id,match_date,home_team,away_team,venue,wk
4158fb00,3/14/25,Dash,Spirit,Shell Energy Stadium,1
f61689bf,3/14/25,Pride,Chicago Stars,Inter&Co Stadium,1
7239a666,3/15/25,Current,Thorns,CPKC Stadium,1
45ad1c98,3/15/25,Louisville,Courage,Lynn Family Stadium,1
008e301f,3/15/25,Reign,Gotham FC,Lumen Field,1
5f6913d7,3/15/25,Royals,Bay FC,America First Field,1
0194ccbe,3/16/25,Angel City,Wave,BMO Stadium,1
7958f078,3/21/25,Thorns,Angel City,Providence Park,2
26889552,3/22/25,Spirit,Current,Audi Field,2
0a35cfd4,3/22/25,Wave,Royals,Snapdragon Stadium,2
a19ff7be,3/22/25,Bay FC,Louisville,PayPal Park,2
a4bd2b1e,3/22/25,Courage,Reign,First Horizon Stadium at WakeMed Soccer ...,2
2f0f155c,3/23/25,Chicago Stars,Dash,SeatGeek Stadium,2
b7b3a204,3/23/25,Gotham FC,Pride,Sports Illustrated Stadium,2
a38568cb,3/28/25,Spirit,Bay FC,Audi Field,3
96890718,3/28/25,Dash,Gotham FC,Shell Energy Stadium,3
74349bed,3/29/25,Current,Royals,CPKC Stadium,3
475a847a,3/29/25,Thorns,Courage,Providence Park,3
0877e051,3/29/25,Pride,Wave,Inter&Co Stadium,3
9e867b88,3/30/25,Angel City,Reign,BMO Stadium,3
9ae009b7,3/30/25,Chicago Stars,Louisville,SeatGeek Stadium,3
fb58cf7f,4/11/25,Royals,Thorns,America First Field,4
733e8be0,4/12/25,Wave,Current,Snapdragon Stadium,4
d0b68db4,4/12/25,Louisville,Spirit,Lynn Family Stadium,4
dd55cdd7,4/12/25,Reign,Pride,Lumen Field,4
c8df78e2,4/12/25,Dash,Angel City,Shell Energy Stadium,4
3d114ae2,4/13/25,Bay FC,Chicago Stars,PayPal Park,4
031916dc,4/13/25,Gotham FC,Courage,Sports Illustrated Stadium,4
f09b4cef,4/18/25,Angel City,Gotham FC,BMO Stadium,5
12b89923,4/18/25,Royals,Chicago Stars,America First Field,5
71e1c7c8,4/18/25,Reign,Thorns,Lumen Field,5
0fbbc32f,4/19/25,Courage,Bay FC,First Horizon Stadium at WakeMed Soccer ...,5
ba2ade47,4/19/25,Pride,Spirit,Inter&Co Stadium,5
ecbd2ae5,4/19/25,Louisville,Wave,Lynn Family Stadium,5
d7e4972c,4/19/25,Current,Dash,CPKC Stadium,5
414d2972,4/22/25,Thorns,Gotham FC,Providence Park,10
20423258,4/25/25,Pride,Angel City,Inter&Co Stadium,6
903440ae,4/25/25,Dash,Royals,Shell Energy Stadium,6
dd365af8,4/26/25,Bay FC,Reign,PayPal Park,6
64bc17e9,4/26/25,Courage,Current,First Horizon Stadium at WakeMed Soccer ...,6
7eff59ff,4/26/25,Chicago Stars,Wave,SeatGeek Stadium,6
592098e0,4/26/25,Spirit,Gotham FC,Audi Field,6
1c087799,4/27/25,Thorns,Louisville,Providence Park,6
8fc9e8b7,5/2/25,Dash,Louisville,Shell Energy Stadium,7
0cf23a87,5/2/25,Reign,Current,Lumen Field,7
c0cb6fdc,5/2/25,Spirit,Angel City,Audi Field,7
13e27d90,5/3/25,Thorns,Pride,Providence Park,7
56095b7f,5/3/25,Royals,Courage,America First Field,7
d19e8e40,5/4/25,Wave,Bay FC,Snapdragon Stadium,7
f513c5f3,5/4/25,Gotham FC,Chicago Stars,Sports Illustrated Stadium,7
3329a1cc,5/10/25,Chicago Stars,Spirit,,8
07c68416,5/9/25,Angel City,Royals,,8
2f764197,5/9/25,Louisville,Gotham FC,,8
6a832d3c,5/10/25,Wave,Thorns,,8
03442e78,5/10/25,Courage,Pride,,8
92952d3a,5/11/25,Current,Bay FC,,8
383bbe06,5/11/25,Reign,Dash,,8
6c8777ca,5/16/25,Gotham FC,Wave,,9
edb68a59,5/17/25,Courage,Chicago Stars,,9
d2545219,5/16/25,Dash,Thorns,,9
b2aea0ed,5/17/25,Spirit,Royals,,9
42890885,5/16/25,Pride,Current,,9
5d73d536,5/17/25,Bay FC,Angel City,,9
70ffc3bc,5/16/25,Louisville,Reign,,9
d174fd4f,5/24/25,Chicago Stars,Current,,10
eb55dce7,5/23/25,Reign,Spirit,,10
79cbcac5,5/23/25,Royals,Pride,,10
b6095527,5/24/25,Angel City,Louisville,,10
30adae5d,5/24/25,Dash,Bay FC,,10
11e533b1,5/25/25,Wave,Courage,,10